ResponseId,PMC_K,PMC_H,PMC_FINAL,Morals_Prosocial_K,Morals_Prosocial_H,Morals_Prosocial_FINAL,Integration of Morals_PMC_K,Integration of Morals_PMC_H,Integration of Morals_PMC_FINAL,morality_irrelevant_K,morality_irrelevant_H,morality_irrelevant_FINAL,lacks_moral_behaviour_K,lacks_moral_behaviour_H,lacks_moral_behaviour_FINAL,Variable_process_engagement_K,Variable_process_engagement_H,Variable_process_engagement_FINAL,Ignores_emotion_K,Ignores_emotion_H,Ignores_emotion_FINAL,Needs_behaviour_K,Needs_behaviour_H,Needs_behaviour_FINAL,no_contemplative_traditions_K,no_contemplative_traditions_H,no_contemplative_traditions_FINAL,AR_K,AR_H,AR_FINAL,U_K,U_H,U_FINAL,MBR_K,MBR_H,MBR_FINAL,CCOMPETENCE_K,CCOMPETENCE_H,CCOMPETENCE_FINAL
R_DeCfrcEBlZjk2nD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,1
R_3jYE5vFuWhpV8rH,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,1
R_291fEHFTI40Olla,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0
R_V296jSdgKSf1Q41,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
R_3q0nla6hA2XBphD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_C4Fh1N1JtqklC37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2VgZ8RGiWndMczF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1EbzsOsMNIMcYT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_12GcTct27RPS3tO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,0,0
R_1Kx9ADaEBDxI2m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FIH7xBsgynwAX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,1,1,1
R_bNIV92skSjtreWl,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_3fq4TVYfv2O7kzh,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_1FhL3qJZkUQcell,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,1,1,0,0
R_vHOhizRzcr7UAtb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2B42lbwRTpE3ehM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dgF3eO56e49qFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,1,1,1
R_1Lciz27Ae6SaQ8r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
